
Number of training patterns: 800

Initial weights : w5 =   9.5799 w4 =   6.6507 w3 =   2.8357 w2 =   6.3874 w1 =   5.6378 w0 =   5.2085 
Training weights: w5 =   9.2958 w4 =   6.2095 w3 =   2.4235 w2 =   5.8831 w1 =   5.2874 w0 =   5.1448 Iteration 1: Error Rate = 79.50%
Training weights: w5 =   9.0532 w4 =   5.7993 w3 =   2.0463 w2 =   5.4144 w1 =   4.9573 w0 =   5.0856 Iteration 2: Error Rate = 73.88%
Training weights: w5 =   8.7983 w4 =   5.3799 w3 =   1.6503 w2 =   4.9338 w1 =   4.6146 w0 =   5.0250 Iteration 3: Error Rate = 75.62%
Training weights: w5 =   8.5316 w4 =   4.9368 w3 =   1.2410 w2 =   4.4274 w1 =   4.2699 w0 =   4.9615 Iteration 4: Error Rate = 79.25%
Training weights: w5 =   8.2643 w4 =   4.5108 w3 =   0.8401 w2 =   3.9367 w1 =   3.9228 w0 =   4.8998 Iteration 5: Error Rate = 77.00%
Training weights: w5 =   8.0024 w4 =   4.0843 w3 =   0.4428 w2 =   3.4436 w1 =   3.5770 w0 =   4.8386 Iteration 6: Error Rate = 76.50%
Training weights: w5 =   7.7431 w4 =   3.6413 w3 =   0.0345 w2 =   2.9467 w1 =   3.2317 w0 =   4.7758 Iteration 7: Error Rate = 78.38%
Training weights: w5 =   7.4747 w4 =   3.2222 w3 =  -0.3512 w2 =   2.4695 w1 =   2.8902 w0 =   4.7151 Iteration 8: Error Rate = 75.75%
Training weights: w5 =   7.2300 w4 =   2.8050 w3 =  -0.7431 w2 =   1.9923 w1 =   2.5436 w0 =   4.6552 Iteration 9: Error Rate = 74.75%
Training weights: w5 =   6.9787 w4 =   2.3852 w3 =  -1.1322 w2 =   1.5093 w1 =   2.2041 w0 =   4.5947 Iteration 10: Error Rate = 75.50%
Training weights: w5 =   6.7198 w4 =   1.9595 w3 =  -1.5250 w2 =   1.0264 w1 =   1.8583 w0 =   4.5333 Iteration 11: Error Rate = 76.62%
Training weights: w5 =   6.4562 w4 =   1.5310 w3 =  -1.9198 w2 =   0.5372 w1 =   1.5188 w0 =   4.4719 Iteration 12: Error Rate = 76.75%
Training weights: w5 =   6.2037 w4 =   1.1025 w3 =  -2.3180 w2 =   0.0421 w1 =   1.1660 w0 =   4.4100 Iteration 13: Error Rate = 77.25%
Training weights: w5 =   5.9560 w4 =   0.7167 w3 =  -2.6676 w2 =  -0.3956 w1 =   0.8414 w0 =   4.3542 Iteration 14: Error Rate = 69.62%
Training weights: w5 =   5.7203 w4 =   0.4025 w3 =  -2.9500 w2 =  -0.7551 w1 =   0.5867 w0 =   4.3082 Iteration 15: Error Rate = 57.88%
Training weights: w5 =   5.4984 w4 =   0.1611 w3 =  -3.1671 w2 =  -1.0415 w1 =   0.3910 w0 =   4.2721 Iteration 16: Error Rate = 46.88%
Training weights: w5 =   5.3238 w4 =   0.0084 w3 =  -3.2993 w2 =  -1.2295 w1 =   0.2760 w0 =   4.2481 Iteration 17: Error Rate = 40.62%
Training weights: w5 =   5.1838 w4 =  -0.0898 w3 =  -3.3869 w2 =  -1.3601 w1 =   0.1934 w0 =   4.2309 Iteration 18: Error Rate = 38.00%
Training weights: w5 =   5.0770 w4 =  -0.1467 w3 =  -3.4374 w2 =  -1.4464 w1 =   0.1447 w0 =   4.2196 Iteration 19: Error Rate = 32.12%
Training weights: w5 =   4.9650 w4 =  -0.2044 w3 =  -3.4905 w2 =  -1.5320 w1 =   0.0883 w0 =   4.2081 Iteration 20: Error Rate = 31.88%
Training weights: w5 =   4.8858 w4 =  -0.2340 w3 =  -3.5122 w2 =  -1.5836 w1 =   0.0667 w0 =   4.2010 Iteration 21: Error Rate = 27.88%
Training weights: w5 =   4.8120 w4 =  -0.2482 w3 =  -3.5218 w2 =  -1.6242 w1 =   0.0556 w0 =   4.1953 Iteration 22: Error Rate = 32.62%
Training weights: w5 =   4.7422 w4 =  -0.2588 w3 =  -3.5326 w2 =  -1.6580 w1 =   0.0479 w0 =   4.1903 Iteration 23: Error Rate = 29.25%
Training weights: w5 =   4.6738 w4 =  -0.2760 w3 =  -3.5435 w2 =  -1.6956 w1 =   0.0333 w0 =   4.1847 Iteration 24: Error Rate = 27.25%
Training weights: w5 =   4.6208 w4 =  -0.2769 w3 =  -3.5400 w2 =  -1.7175 w1 =   0.0233 w0 =   4.1809 Iteration 25: Error Rate = 30.00%
Training weights: w5 =   4.5773 w4 =  -0.2688 w3 =  -3.5303 w2 =  -1.7304 w1 =   0.0247 w0 =   4.1786 Iteration 26: Error Rate = 26.38%
Training weights: w5 =   4.5543 w4 =  -0.2358 w3 =  -3.4972 w2 =  -1.7213 w1 =   0.0440 w0 =   4.1791 Iteration 27: Error Rate = 29.12%
Training weights: w5 =   4.5140 w4 =  -0.2268 w3 =  -3.4875 w2 =  -1.7315 w1 =   0.0454 w0 =   4.1770 Iteration 28: Error Rate = 25.62%
Training weights: w5 =   4.4798 w4 =  -0.2056 w3 =  -3.4680 w2 =  -1.7317 w1 =   0.0615 w0 =   4.1762 Iteration 29: Error Rate = 27.00%
Training weights: w5 =   4.4292 w4 =  -0.2001 w3 =  -3.4569 w2 =  -1.7517 w1 =   0.0544 w0 =   4.1729 Iteration 30: Error Rate = 29.75%
